date,month,department,customer,category,product,region,revenue,cost,profit,amount,transaction_count
2026-01-05,2026-01,财富管理部,华东资产管理,基金销售,沪深300ETF,华东,128000,42000,86000,128000,18
2026-01-08,2026-01,机构业务部,晨星资本,投研服务,量化因子报告,华北,96000,38000,58000,96000,7
2026-01-13,2026-01,零售金融部,个人客户A,理财产品,稳健收益组合,华南,54000,21000,33000,54000,42
2026-01-20,2026-01,财富管理部,蓝海投资,基金销售,科创50ETF,华东,76000,33000,43000,76000,15
2026-02-03,2026-02,机构业务部,远航证券,数据服务,市场数据订阅,华北,112000,46000,66000,112000,9
2026-02-10,2026-02,零售金融部,个人客户B,理财产品,现金管理组合,西南,48000,18000,30000,48000,36
2026-02-18,2026-02,风险管理部,内部项目,风险咨询,压力测试服务,华东,69000,39000,30000,69000,5
2026-02-25,2026-02,财富管理部,华东资产管理,基金销售,中证500ETF,华东,134000,51000,83000,134000,21
2026-03-04,2026-03,机构业务部,晨星资本,投研服务,组合归因分析,华北,118000,49000,69000,118000,8
2026-03-11,2026-03,零售金融部,个人客户C,理财产品,稳健收益组合,华南,59000,23000,36000,59000,44
2026-03-19,2026-03,财富管理部,蓝海投资,基金销售,红利低波ETF,华东,88000,31000,57000,88000,16
2026-03-27,2026-03,风险管理部,内部项目,风险咨询,信用风险评估,华东,72000,42000,30000,72000,4
2026-04-02,2026-04,机构业务部,远航证券,数据服务,市场数据订阅,华北,125000,47000,78000,125000,10
2026-04-09,2026-04,零售金融部,个人客户A,理财产品,现金管理组合,华南,51000,19000,32000,51000,39
2026-04-16,2026-04,财富管理部,华东资产管理,基金销售,沪深300ETF,华东,142000,53000,89000,142000,22
2026-04-23,2026-04,机构业务部,晨星资本,投研服务,量化因子报告,华北,103000,41000,62000,103000,7
2026-05-06,2026-05,风险管理部,内部项目,风险咨询,压力测试服务,华东,66000,44000,22000,66000,5
2026-05-12,2026-05,零售金融部,个人客户D,理财产品,稳健收益组合,西南,62000,24000,38000,62000,47
2026-05-20,2026-05,财富管理部,蓝海投资,基金销售,科创50ETF,华东,71000,37000,34000,71000,14
2026-05-28,2026-05,机构业务部,远航证券,数据服务,行情接口开发,华北,156000,76000,80000,156000,3
2026-06-03,2026-06,财富管理部,华东资产管理,基金销售,中证500ETF,华东,139000,52000,87000,139000,20
2026-06-10,2026-06,零售金融部,个人客户B,理财产品,现金管理组合,西南,53000,20000,33000,53000,41
2026-06-18,2026-06,机构业务部,晨星资本,投研服务,组合归因分析,华北,121000,50000,71000,121000,8
2026-06-26,2026-06,风险管理部,内部项目,风险咨询,信用风险评估,华东,75000,43000,32000,75000,4
